"","s1"
"(Intercept)",0.0267718015319715
"1",-0.0849730441402246
"10_10",1.32295471250343
"10_out",1.21161979616996
"10_out_of_10",0
"1_10",-1.48033902374736
"1_2_from",0
"1_out",-2.08273503985262
"2",-0.0448616382834421
"2_10",-2.41077505028649
"2_out",-1.17255828654149
"2_out_of_10",0
"3",-0.268020168640427
"3_10",-2.58873530770022
"3_out_of_10",0
"4",-0.442458651791531
"4_10",-2.84615195367205
"4_out_of_10",0
"7",0.706718083638348
"7.5",1.96106210891244
"7_10",3.7342885568361
"7_out",2.51553470231681
"7_out_of",0
"8",0.45648713062824
"80_s",0.332161209774325
"8_10",2.29668910008531
"8_out",1.63672127923253
"8_out_of",0
"9",0.278490946947092
"9_10",0.87559287918702
"9_out_of_10",0
"able_to",0.187790050823155
"able_to_see",0
"about_as",-0.352667076958464
"about_time",0.135341413088343
"absolutely_no",-0.166275302369531
"absolutely_nothing",-0.390736904397575
"absorbing",0.855992468514617
"absurd",-0.291643365767461
"accent",-0.161740780798006
"acting",-0.115678330974971
"actors",-0.0831647924258081
"adds",0.422813690470123
"again",0.0396563879037185
"again_again",0
"ages",0
"all_in",0.21322184096254
"alright",-0.425252791550761
"also",0.0752850690995887
"although",0.0692510712163694
"always",0.130182365794058
"amateurish",-0.939430755459847
"amazing",0.631702106876548
"animal",-0.419056483139773
"annoyed",-0.0676765040356681
"annoying",-0.640217029521067
"any",-0.0917755317979937
"any_of",-0.100559531025206
"any_of_characters",0
"anyone_interested",1.09243392447371
"anything",-0.142004741703991
"apartment",0.157599484681195
"appalling",-0.504317819955439
"apparently",-0.143766980523674
"appears",-0.176452101617038
"appreciate",0.397038943106865
"appreciated",0.512030001288349
"as_good_as",0
"as_if",-0.154142465336019
"as_much_as",0
"ashamed",-0.622069672244396
"asleep",-0.368422572327703
"at_all",-0.453955675772159
"at_best",-0.943356098859082
"at_end",0
"at_first",0.521304024206803
"at_same",0
"at_time",0.0689213854602677
"at_times",0.207168630386032
"atmosphere",0.355351343865244
"atrocious",-0.639863124434688
"attempt",-0.417437908082829
"attempt_at",-0.204088492047443
"attention",0.138429410866907
"available",0.389471864466454
"avoid",-0.684481265865053
"avoid_this",-1.26779441513345
"awesome",0.577364347064341
"awful",-1.1747706853813
"b_movie",-0.240784394320382
"back_enjoy",0
"back_in",0.249490868380862
"bad",-0.403741424152627
"bad_at_all",0
"bad_movie",-0.262677989134803
"bad_reviews",0.465996895964716
"bad_thing",1.17641228995549
"badly",-0.53007399142921
"baldwin",-0.600390216080647
"barely",-0.456601006953413
"based_on_true_story",0
"basically",-0.314835532437938
"be_comedy",0
"be_disappointed",0.543897830388054
"be_funny",-0.24492656344144
"be_good",-0.469909446508682
"be_missed",1.54099020605328
"beautiful",0.239963190650585
"beautifully",0.538518628862169
"beauty",0.253126140869085
"been_great",-0.523902334696146
"beginning_to",0.241789176754131
"bela_lugosi",-1.25851331658084
"believable",0.463456564282112
"believe_that",-0.136653856736287
"below",-0.332167988215707
"below_average",-1.61215733835507
"best",0.426633344899419
"best_part",-0.632445999012507
"better",-0.136127635276992
"better_than",0.419749386874462
"bible",-0.373646651235805
"bit",0.134291888468168
"bland",-0.417655736341477
"blew_away",1.48397402821394
"blown_up",-1.60639277925865
"bond",0.10003889953717
"book",-0.137786231953315
"bore",-0.988037163752738
"bored",-0.316208469076315
"boredom",-0.603449151798981
"boring",-0.652404435227645
"both",0.161851832746579
"bother",-0.304171969516205
"bothered_to",-0.694312689623482
"bravo",1.41973213869188
"brazil",0.286917421816331
"brilliant",0.63041175230315
"brilliantly",1.26318575644697
"brings",0.159242863188121
"brutal",0.307957589061296
"bugs",0.254162065466307
"bunch_of",-0.134244491110378
"but_not_much",0
"but_sadly",-0.537949809388164
"but_still",0.16356763393181
"but_this",-0.175250045723386
"camera",-0.243878253475287
"can",0.0735404329988571
"can't_wait",0.565816310587996
"can_relate",1.04609952553367
"can_watch",0.349017521100145
"captures",0.253035971287169
"cardboard",-0.51144083824449
"careful",0.0699245037645293
"carries",0.557652526086361
"cash_in",-0.599143051650489
"catch",0.109316119919663
"caught",0.383316068087879
"cerebral",0.619021668408899
"chance",0.409509375996575
"charming",0.271558056105369
"cheap",-0.662800282192948
"check_this",0.444743663295081
"chilling",0.732415070425416
"christian",-0.354154778093882
"christians",-0.326510545943713
"city",0.133714764917683
"classic",0.158919467712554
"cleverly",0.0157170263523691
"cliché",-0.37403346007887
"come_on",-0.227134829756995
"comedies",0.348333809167984
"comic",0.116924848898158
"compelling",0.315413315317324
"complaints",0.233570840078362
"completely",-0.122576435097764
"complex",0.321648010247588
"confusing",-0.38677380512537
"consequences",0.16250670859664
"could",-0.0758474839497536
"could_been",0
"couldn't",-0.150672376283022
"country's",1.36579444928173
"courage",0.311417196058976
"crap",-0.36188609038715
"crappy",-0.501299120165935
"credibility",-0.808125670138841
"cried",0.284220806912241
"day",0
"deals_with",0
"death",0.0386886291353601
"decent",-0.13708792729264
"definite",0.0285808849581475
"definitely",0.291597924082133
"definitely_recommend",1.2210486718514
"definitely_worth",1.69258078535369
"deliciously",1.66804660761138
"delightful",0.736774087093791
"delivers",0.319346044396067
"deserves",0.51166172942046
"detract",0.35280110753014
"did_not",-0.154994632334069
"didn't",-0.0805378090691811
"different",0.224755501490292
"dimensional",-0.490017102230855
"director",-0.197295345271001
"dirty_harry",0.325436543357027
"disappoint",0.490646127456444
"disappointed",-0.241002971280278
"disappointing",-0.706144561744941
"disappointment",-1.12341249050186
"disaster",-0.119150119266264
"disjointed",-1.08710420524098
"distasteful",-0.962962380967302
"do_not_watch_this",0
"doesn't_even",0
"doesn't_help",-1.17478141657134
"doesn't_make",-0.663198858151018
"doesn't_work",-0.58114518321018
"don't",-0.036845659396547
"don't_even",-0.174542553056033
"don't_miss",1.51289292538897
"don't_want",0.411908239723595
"dorm",-0.82642079810534
"downhill",-0.620672330269477
"draws",0.162149661693532
"dreadful",-0.973487534255875
"dreams",0.0773134778684395
"drivel",-0.601981519138198
"dull",-0.960806053402108
"dumb",-0.223767891447102
"dvd",0.0629748797562424
"dvd_cover",-0.808253456990099
"each",0.120397578914143
"easy",0.274804706169801
"edge",0.436497989946004
"eerie",0.840127339892584
"effective",0.268647147864498
"effort",-0.147418689559748
"either",-0.205818904226669
"elsewhere",-0.734374957652837
"email",0.677198226768418
"embarrassed",-0.728847713048719
"embarrassing",-0.632999084389996
"embarrassingly",-1.0469859702355
"embarrassment",-0.750528412565192
"emotions",0.420210557282313
"endless",-0.92140981480957
"energetic",0.628442120235025
"enjoy",0.391568699365157
"enjoyable",0.588841895386789
"enjoyed",0.188951343343293
"enjoyed_this",1.24729701195285
"entertaining",0.386701236485756
"entertains",0.763703359400596
"episode",0.0686011552668733
"episodes",0.260562047845188
"especially",0.292798763515569
"even",-0.0252804790159926
"even_better",0.931506050136876
"even_close_to",0
"even_that",-1.18990774465841
"even_though",0.0282786400448979
"every_day",0.766532556523347
"every_time_watch",0
"excellent",0.846905723884548
"excellently",0.811976027822802
"except",-0.178812715508207
"exceptional",0.866247712482593
"excuse",-0.358173737301061
"existent",-0.736403357252985
"experience",0.247559678974622
"extraordinary",0.71381333893144
"fabulous",0.0212333629629588
"failed",-0.399499025018371
"fails",-0.79286438827243
"family",0.0210529183868831
"fantastic",0.683171761616412
"far_too",-0.287849709411236
"fascinating",0.580351499280222
"fast_forward",-1.05550738620209
"fast_paced",0.191009427045706
"favorite",0.654573525492554
"favorite_movies",1.25490960412676
"favorites",0.442509123334698
"favourite",0.525054130393776
"fears",0.661732723874853
"feel",0.0508645825560932
"fell_asleep",-0.748996839865735
"felt_like",-0.0891967138095127
"few_good",-0.916922384346508
"few_laughs",-1.05364334711627
"film_in",0.222921636076628
"film_school",-0.781664026925125
"filmmakers",-0.10729094015882
"find",0.0119083463949488
"fine",0.0106837095473842
"fine_film",0.536584437578253
"finest",0.540003266294721
"first_rate",0.668096704281407
"first_saw",0.587863675173243
"first_saw_this",0
"first_time",0.540919143670496
"flat",-0.157834525315335
"flawless",0.050007072315836
"flimsy",-0.67186738815381
"follows",0.130802276050609
"for_actors",0
"for_everyone",1.03215278275613
"for_first_time",0
"for_free",-0.688769181729913
"for_once",0.938963428231856
"for_this",-0.218848197791673
"for_those",0.215836809815814
"forgettable",-1.36476208394236
"fortunate",0.255861325480704
"forward_to_this",0
"frank",0.182528148359923
"frankly",0
"freedom",0.523533735874592
"fresh",0.172965532039552
"friendship",0.236166250124284
"from_original",0
"from_outer_space",0
"fun",0.27646601738731
"funniest",0.687542946364379
"future",0.233474665471585
"garbage",-0.471319659089483
"gem",0.843074364677271
"genius",0.269114874437546
"get_copy",0
"give_4",0
"gives",0.25363153950221
"glad",0.333645699038469
"glad_did",0
"glued",1.84666341125357
"good",0.063931277663602
"good_as",0.19874761572873
"good_film",0.0221111827959582
"gorgeous",0.325625464147309
"grade",-0.347820635381396
"grade_b",1.54733364447793
"grade_d",-1.64195121309454
"great",0.489483385633549
"great_but",-0.822682135834417
"great_job",0.234113887172438
"great_movie",0.180090151605454
"greatest",0.278580675940978
"gripping",0.388636810161959
"gritty",0.715834269552674
"guess",-0.140389527348316
"guilt",0.0656397877901439
"hackneyed",-0.450246335168476
"had_high",-1.71660653146684
"hairy",-1.27572392181676
"half",-0.11657159292953
"half_hearted",-0.790645854095957
"haunting",0.66269763156015
"heart",0.109531162395252
"helps",0
"highly",0.467205807903789
"highly_recommend",0.648674646319808
"highly_recommend_this",0
"highly_recommended",1.49227330810971
"hilarious",0.897874407426097
"holly",0.474943915996234
"honestly",-0.246932518305465
"hooked",1.10694117703684
"hoot",0.507034370101428
"hoping",-0.706359479890623
"horrible",-0.521791723941008
"horribly",-0.34144259171615
"hour",-0.1681906514385
"how_good",0.62718691341546
"how_not",-0.49236572024507
"how_not_to",0
"human",0.312512106865968
"hype",-0.597037321559976
"i'm_afraid",-0.896279833310606
"idea",-0.250285393913562
"ideal",0.181627735597959
"identify",0.067348563714424
"identity",0.0320021829273985
"idiotic",-0.462187310593662
"if_director",-0.863863078406991
"if_don't_like",0
"if_had",0
"if_must",0
"if_this",-0.465711624644915
"if_want",0
"if_want_to",0
"if_want_to_see",0
"impact",0.430055636039968
"impressed",0.76194650988496
"in_black",0.396667033466651
"in_grave",0
"in_lives",0
"in_way",-0.0861558701175727
"inaccurate",-0.327258319614949
"inappropriate",-0.603073101157944
"incoherent",-0.814449252982942
"incredible",0.766707525853829
"inept",-0.513080060859041
"information",0
"innocent",0.383916921352148
"instead",-0.386324134535872
"insult",-0.431739081701193
"insult_to",-0.558053130323702
"insulting",-0.432368940138512
"intense",0.27155094835335
"interesting",-0.154647834782757
"interesting_but",-0.466596025972326
"irritating",-0.555935504756486
"isn't_even",-0.638319730963413
"isn't_for",0.905874721477419
"isn't_very",-0.289144523635052
"it's",0.023075297026032
"it's_just",-0.245109448373293
"jack",0.124106983044782
"jackass",0.49014576163942
"jean",0.250160746133646
"job",0.131729022093163
"joke",-0.225157482298579
"journey",0.159259641333743
"joy_to",0.145613657241098
"junk",-0.411043150647974
"just",-0.0341077807233754
"just_as",0.16239781876916
"just_didn't",-0.528313651161698
"just_doesn't",0
"just_enjoy",1.66592154631353
"just_great",0.832941201924646
"just_isn't",-1.64704254163362
"just_not",-1.06953573455292
"just_plain",-0.41098657534658
"just_right",0.327077519176402
"just_seems",0
"just_too",-0.275019437584017
"just_wasn't",-0.393292659299868
"keep",0.166518638953673
"keeps",0
"knowing",0.146808498029351
"lack",0
"lack_of",-0.263578718383645
"lacked",-0.743134464450296
"lacking",-0.380695894139195
"lacks",-0.778692410580939
"ladder",0.990741204603347
"lame",-0.463315289462909
"last",0.159449642624391
"later",0.0402359388095356
"laughable",-1.03836633674402
"least",-0.148082282443248
"left",-0.105130006002753
"let_down",-0.223546275695476
"letdown",-1.17280132997419
"life",0.0839281461051049
"lifeless",-1.16003321229176
"light",0.197635750128254
"like_watching",-0.200982019397159
"liked",0.271864231204935
"liked_movie",0
"liked_this",0.573842717606215
"little_else",-1.66909306515078
"little_film",0.853963826727357
"little_movie",0.0673638049597546
"little_slow",1.72565794636846
"little_to",-0.328584160384866
"lives",0.14186493397868
"look_forward",0.357329547636249
"look_like",-0.314429317352292
"looked",-0.272694516240286
"looking",-0.119356262373454
"looking_forward",-0.790510380907487
"looks",-0.210828934293524
"looks_as_if",0
"looks_at",1.11195285358188
"looks_like",0
"lost_interest",-1.56805765513721
"lot",0.115786716239587
"lot_about",0.865653821759006
"lot_of_fun",0
"lot_of_things",0
"lousy",-1.42068282070314
"love",0.0970166012036656
"love_this",0.74979271450442
"loved",0.445384319927652
"loved_this",1.01192534690376
"low",-0.211108684572332
"ludicrous",-0.398526860696237
"made_this",-0.127055216465124
"magnificent",0
"main_problem",-0.423256621105919
"mainstream",0.506505280863535
"make_movie",0
"makes",0.281708166010057
"many",0.0186064236870952
"marvellous",2.31155828372204
"marvelous",0.475336706696113
"masterpiece",0.548435521270569
"match",0
"material",-0.452079591946954
"may",0.0282462755558898
"may_not",0.638570334031164
"may_not_be",0
"maybe",-0.0170155163813393
"maybe_if",0
"mcdowell",-1.07386335349909
"mean",-0.0444002746030713
"mediocre",-0.775467655237818
"meets",0.131941274054609
"memorable",0.0231005928672604
"mess",-0.558419910617274
"might_been",0
"might_enjoy",-1.33513228568161
"mildly",-0.883488820757646
"minutes",-0.258583296051503
"minutes_into",-0.686793856777045
"minutes_of",-0.408208880245894
"miscast",-0.517378643002689
"money",-0.182728554316349
"more",0.0258849975198134
"more_movies",0.78840528665145
"most",0.125541654686295
"most_people",0.238537412283017
"motions",-1.40286515175012
"moved",0.192943886937378
"moves_along",0.57549933109189
"movie_just",-0.429512159061142
"moving",0.258545138661959
"mst3k",-1.24005856001434
"much_as",0.554249445275566
"much_better",-0.305445350548152
"much_better_than",0
"muddled",-0.628220565767736
"music",0.054837047244646
"must_for",1.10700270089951
"must_see",1.65267292555125
"mystery_science",-1.61896746751567
"neatly",1.3562156799903
"negative_comments",1.87324004642138
"neither",-0.369735524137653
"nevertheless",0.72591233545242
"new",0.0817803051001112
"nice",0.088057395726783
"nicely",0.468932405858301
"no",-0.115563917406988
"no_other",0.749857382864619
"no_sense",-0.832322864550141
"noir",0.70615723012574
"none_of",-0.248763000457902
"nonetheless",0.330193821328995
"nonsense",-0.500070598844888
"not_disappointed",0.854990968358658
"not_enough",-0.263835196780372
"not_enough_to",0
"not_even",-0.562974471914069
"not_funny",-1.05217908893354
"not_good",-0.916987668542315
"not_in_good",0
"not_make",-0.247922727148412
"not_much",-0.318378761557867
"not_one",-0.411705477150347
"not_one_of",0
"not_recommend",-2.32119950371048
"not_recommended",-1.35284509067471
"not_that",-0.280907126236512
"not_typical",0
"not_very",-0.909217380238468
"not_very_good",0
"not_worth",-1.17964333565332
"nothing",-0.40584640989285
"nowhere",-0.00638605596365139
"obnoxious",-0.462422682178728
"obvious",-0.159823606364023
"of_best",0
"of_course",0.0620005244987922
"of_fun",0.114099853032023
"of_funniest",0
"of_most",0
"of_movie",0.0655564522903358
"of_seat",0
"of_war",0.672551989682714
"of_what",0.379509492905475
"of_worst",0
"off",-0.105525906423387
"offensive",-0.264849364845784
"often",0.0615133952870718
"oh",-0.391565246798308
"ok",-0.230798184836401
"okay",-0.412720894396767
"olds",-1.64927136763609
"on_dvd",0.731617500595025
"on_edge_of",0
"on_plus_side",0
"one_of",0.14134875083486
"one_of_best",0
"one_of_better",0
"one_of_worst",0
"one_star",-0.574106010204764
"only",-0.105848289235182
"only_complaint",1.07871434699601
"only_good",-0.644746393302848
"only_problem",1.60092228483768
"only_reason",0
"only_reason_to",0
"only_saving",-1.89632585143147
"only_thing",-0.121025331300808
"or_dvd",0.927228535342828
"or_hate",2.71750690677911
"or_something",-0.30463135485299
"original",-0.216466749846479
"oscar",0
"others",0.0533037921150531
"otherwise",-0.347512012256733
"outstanding",0.508119144999999
"own",0.161687131962479
"packed",0.244703635947532
"paid",-0.391964696363759
"painful",-0.610219712394566
"paint",-0.512254353143339
"paramount",0.195506161783714
"pass",-0.165425920514332
"pathetic",-0.752923440378498
"penalty",0.50713576714334
"perfect",0.722797734576224
"perfection",0.155028657639181
"perfectly",0.391990433973031
"performance",0.0322865655548842
"performance_as",0.284490716912508
"performances",0.168339255752206
"performances_by",0.461461684097758
"played",0.0276277306651269
"pleasant",0.331003638412282
"pleasantly_surprised",0.966122274921967
"pleased",0.824662565007061
"pleasure",0.358883881594628
"plenty",0
"plenty_of",0.294331787704846
"plodding",-1.09473362415294
"plot",-0.116024838395601
"pointless",-0.906545012733459
"polished",0.825798838931889
"poor",-0.623898747759196
"poorly",-1.18404969760923
"portrayal",0.159737799109886
"potential",-0.353289415530743
"potential_but",-0.241534268733491
"power_of",0.275293378585672
"powerful",0.575478617137917
"predictable",-0.485966783760407
"predictable_but",0.76815734738418
"premise",-0.077507913927743
"present",0.193197529038785
"pretentious",-0.848846332252865
"pretty_good",0.29299061261822
"problem",-0.254238974271813
"producers",-0.222042756116599
"promising",-0.369613052663664
"propaganda",-0.497662865403898
"provides",0.194793111150242
"put_off",0.733851694503097
"quiet",0.360675876562974
"quite",0.10785917710367
"rare",0.425554554730428
"raw",0.0997589881786389
"read_book",-0.272327758540031
"realistic",0.306134572881961
"reality",0.138900654486466
"really_good",0.375253426705561
"reason",-0.261144256877062
"reason_for",-0.367072987549509
"reason_to_watch_this",0
"recommend",0.198951126379161
"recommend_this",0.310983955385171
"recommend_to",0
"recommended",0.27755309438916
"redeeming",-0.979240413414021
"refreshing",1.32242645834778
"relationship",0.238844623894509
"release",0.334049203549787
"remarkable",0.129885437136158
"remotely",-0.702169447549162
"rent",-0.156908887762795
"rented",-0.382738223513768
"research",-0.612995795097579
"rest_of_movie",0
"restored",0.536211773624143
"revolting",-0.903478742869921
"ride",0.268935451014558
"ridiculous",-0.62861951573548
"rip_off",-0.256449460164623
"rip_off_of",0
"riveting",0.285539325902411
"rubbish",-0.498137490891266
"ruined",-0.482422748785873
"sadistic",-0.801393865144493
"sadly",-0.435159816544721
"satisfying",1.02881328231219
"save",-0.552545620414134
"save_money",-0.873432983190272
"save_this",-0.500656887855332
"saving",-0.270275266655168
"saw",0.000274154257341905
"saw_this",0.210699722545554
"scientist",-0.400801067112234
"screaming",-0.267806270452732
"screenwriter",-0.552483521455282
"script",-0.278021553025319
"scriptwriters",0
"seagal",-0.214165089097438
"season",0.25036677867545
"see",0.0980543081130279
"see_again",0
"see_any",-0.664729343864183
"seemed",-0.229985844578128
"seems",-0.104992741282795
"seen",0.181501927955205
"sensitive",0.620742371159051
"series",0.112672402006923
"shallow",-0.502726614591577
"shame",-0.147838753653879
"shelf",-0.172975126967423
"shots_of",-0.202630452107706
"should",-0.107696219887085
"should_been",0
"should_never",-0.385913360932294
"should_see",0.19631151436704
"shows",0.180892393516824
"silly",-0.301788071256626
"simple",0.305525088883136
"simplicity",0.177534339243276
"simply_not",-0.261771649323647
"sinatra",0.102231640242812
"sit_back",0.782331060890953
"sit_through",-0.512727527452573
"skip_this",-1.27673946573519
"small",0.113992540408446
"so_bad",-0.379418757302429
"so_disappointed",-1.16663216084751
"so_well",0
"society",0.0737362956128923
"solid",0.655309287702911
"some_kind_of",0
"someone",-0.170705879934324
"something_better",-1.48451445570984
"sometimes",0.0631529877548886
"sorry",-0.562039296535755
"spectacular",0.368249098104858
"spinal_tap",0.89123731094142
"splendid",0.934193483405658
"spot_on",1.30077703757093
"start_to",0.531303172606883
"started_out",-0.541798918591209
"stay_away",-0.344490632356791
"steals",0.90410878186146
"steals_show",0
"stereotyped",-0.666208039241551
"stick_to",-0.609424414647476
"still",0.210831129262344
"still_this",0.617353044965708
"stilted",-0.879252731333083
"stinker",-1.28741730165686
"stock_footage",-1.11796137669061
"stopped_watching",-0.256491032185728
"story_of",0.0851659226285522
"story_told",0.616082533391259
"strong",0.410929125550795
"stunning",0.391617893398269
"stupid",-0.315937695821803
"stupidity",-0.329109521111682
"sub_par",-0.466202861688874
"subtitles",0.514862533542054
"subtle",0.765143490878957
"succeeds",0.490877718918764
"sucked",-0.275784162764603
"sucks",-0.5481718928229
"superb",1.17253284568721
"superbly",0.779094394744492
"suppose",-0.198833309701155
"supposed",-0.431606759021542
"supposedly",-0.614130352879734
"surprised",0.380505649150363
"surprising",0.504693455839578
"surprisingly",0.588071712464063
"surprisingly_good",0.649800571717519
"surreal",0.769524951486314
"sweet",0.48578548995052
"takes",0
"tale",0.0429900719660562
"tears",0.186617754487554
"tedious",-1.02228732364162
"tells",0.322382313673576
"terrible",-0.802250228848146
"terrific",0.691424501586383
"than_any",0.156407932632841
"than_expected",0
"than_many",0.444060444106369
"than_this",-0.518423694158754
"thank",0.338010017953569
"thanks",0.422862748665622
"that's_about",-0.778598174192978
"that_would",-0.528673025754697
"there_some_good",0
"thin",-0.422821319387733
"thing",-0.134477891601517
"think",0.104468850518998
"this_best",0
"this_crap",-1.12281581763927
"this_dull",-1.7837720329741
"this_excellent",0
"this_fine",0.346236868895161
"this_fun",2.02747759663626
"this_great",0.949220072956812
"this_just",-0.364036522127892
"this_mess",-0.753634960360453
"this_piece",-0.859649620034963
"this_piece_of",0
"this_short",0.441999436392948
"this_thing",-0.812419189477594
"this_travesty",-1.28205987796257
"this_turkey",-1.09701120864361
"this_very_good",0
"those_of",0.203766631327377
"thought_provoking",1.02442389328331
"through_this",-0.263212265740205
"thumbs_up",0.79755183506947
"time",0.0546190791085879
"times",0.0675113847277563
"tired",-0.319655087953435
"tiresome",-0.969483121986079
"to_all",0.173858326963446
"to_be",-0.0497374393177133
"to_believe",-0.238133403691686
"to_believe_that",0
"to_help",0
"to_make",-0.0909675086352393
"to_recommend",-0.690079201645659
"to_see_again",0
"to_sit_through",0
"to_work_with",0
"today",0.483302166860338
"together",0.138491265733303
"tolerable",-1.0800593643725
"too_hard",-0.239653265469784
"too_many",-0.335544091557603
"too_seriously",0.734530172702215
"top_notch",0.565720953313937
"total_lack",-1.33300137643953
"touches",0.358093574305815
"touching",0.564364831578961
"traditional",0.30335837117891
"tragic",0.00280294485485153
"trash",-0.325539880298996
"treat",0.364394568368744
"tried",0
"tries_to_be",0
"tripe",-1.055204675583
"trite",-1.01647730701802
"troubled",0.682686040632789
"true",0.250184223559419
"truly",0.107001694790571
"trying",-0.22624907862023
"turd",-0.612273346043465
"turkey",-0.468509248151141
"twists",0.190975441073877
"two_hours",-0.542224308314394
"ugly",-0.194800102513239
"ultimate",0.52525969489928
"unappealing",-1.0394765540487
"unbelievable",-0.473344998558997
"unconvincing",-0.979682320922959
"underrated",0.746555523577572
"understated",0
"unexpected",0.466023740649619
"unforgettable",0.78781725274692
"unfortunately",-0.485275469326371
"unfunny",-1.16351956816001
"uninspired",-0.49591260745047
"unintentional",-0.550033535822708
"unintentionally",-0.260357722070972
"uninteresting",-0.846655852746203
"unique",0.324647683376725
"unless",-0.47040128093834
"unlike",0.285446267020529
"unlikeable",-0.898247596257598
"unrealistic",-0.175369903430832
"unusual",0
"unwatchable",-1.10225012022749
"urban",0
"value",-0.162337860449599
"van",-0.285393084132077
"vapid",-0.281576763673224
"very",0.0872125709996197
"very_bad",-0.127334295654784
"very_disappointed",-1.48495289014623
"very_disappointing",-0.255562747802885
"very_enjoyable",0.0556692998282655
"very_entertaining",0.629384788897005
"very_funny",1.05727594649233
"very_good",0.197834612070602
"very_little",-0.207524385839709
"very_moving",0.880591589162212
"very_slow",-1.38431749410311
"very_well",0.406339583786156
"vhs",0.170724231907883
"victims",-0.319152668944246
"voodoo",-0.663431576446644
"walked",-0.333471699269525
"walked_out",-0.14912408416366
"walking_around",-1.29895719402648
"wanted_to_like",0
"wanting_more",1.42842139320226
"war",0.0749781608031165
"warm",0.276346541026694
"wasn't",0
"waste",-1.69669658895861
"wasted",-0.57720911130997
"wasting",-1.64677397152323
"watch_over",1.59417234119881
"watchable",-0.360111834441004
"watching",-0.0706923670012371
"watching_this",-0.143171155034058
"way_too",-0.609254595176641
"ways",0.287129193889032
"weak",-0.650053607797213
"well",0.0864853652442698
"well_done",0.163924829981716
"well_worth",1.60858068779209
"well_written",0.316556636143578
"what_exactly",-0.399267964144583
"what_makes",0.582290068764261
"what_point",0
"what_point_of",0
"what_thinking",0
"whatsoever",-0.383572572269092
"who",0.00988732604755185
"who_made_this",0
"whole_film",-0.532238925605025
"why",-0.10091348654441
"why_did",-0.311264863912522
"wider",0.785073982022348
"will",0.101534774418202
"with_this",0
"without_being",0.318413907789969
"witty",0.311648703642727
"women",-0.160037138806393
"won't_be_disappointed",0
"wonder",-0.204618945563113
"wonderful",0.499958325205597
"wonderfully",1.38327091748921
"wooden",-0.657934344192375
"work_in",0.0821131430410348
"works",0.157651038584857
"world",0.046332720107238
"world_of",0.0466784943550805
"worse",-0.745504171630059
"worst",-1.38021857578639
"worst_movie",-0.253207507198093
"worth_seeing",0.385305947312264
"worthless",-1.24665281284942
"would",-0.098341459056494
"would've",-0.458343710206513
"would_be_good",0
"would_been",0
"would_love_to",0
"would_recommend",0.174548873245188
"wouldn't",-0.0507807843139497
"wouldn't_recommend",-0.1944601630098
"wrenching",0.383391382960978
"write",-0.333062315955275
"writers",-0.553562203777213
"writing",-0.0268041196709471
"wrong",-0.217260945936357
"x",0.148983832190214
"yawn",-1.96145898907433
"years",0.0720586320143075
