"","MovieID","Title"
"Action","2720","Inspector Gadget (1999)"
"Action","1917","Armageddon (1998)"
"Action","517","Rising Sun (1993)"
"Action","1196","Star Wars: Episode V - The Empire Strikes Back (1980)"
"Action","1604","Money Talks (1997)"
"Action","2817","Aces: Iron Eagle III (1992)"
"Action","858","Godfather, The (1972)"
"Action","1616","Peacemaker, The (1997)"
"Action","3000","Princess Mononoke, The (Mononoke Hime) (1997)"
"Action","1134","Johnny 100 Pesos (1993)"
"Adventure","2720","Inspector Gadget (1999)"
"Adventure","1917","Armageddon (1998)"
"Adventure","1196","Star Wars: Episode V - The Empire Strikes Back (1980)"
"Adventure","1806","Paulie (1998)"
"Adventure","1030","Pete's Dragon (1977)"
"Adventure","146","Amazing Panda Adventure, The (1995)"
"Adventure","3000","Princess Mononoke, The (Mononoke Hime) (1997)"
"Adventure","1204","Lawrence of Arabia (1962)"
"Adventure","1031","Bedknobs and Broomsticks (1971)"
"Adventure","3285","Beach, The (2000)"
"Animation","1","Toy Story (1995)"
"Animation","2495","Fantastic Planet, The (La Planète sauvage) (1973)"
"Animation","1064","Aladdin and the King of Thieves (1996)"
"Animation","1151","Faust (1994)"
"Animation","1030","Pete's Dragon (1977)"
"Animation","1148","Wrong Trousers, The (1993)"
"Animation","3000","Princess Mononoke, The (Mononoke Hime) (1997)"
"Animation","745","Close Shave, A (1995)"
"Animation","1566","Hercules (1997)"
"Animation","1025","Sword in the Stone, The (1963)"
"Children's","2720","Inspector Gadget (1999)"
"Children's","1","Toy Story (1995)"
"Children's","531","Secret Garden, The (1993)"
"Children's","34","Babe (1995)"
"Children's","1064","Aladdin and the King of Thieves (1996)"
"Children's","1806","Paulie (1998)"
"Children's","1030","Pete's Dragon (1977)"
"Children's","146","Amazing Panda Adventure, The (1995)"
"Children's","374","Richie Rich (1994)"
"Children's","1016","Shaggy Dog, The (1959)"
"Comedy","2720","Inspector Gadget (1999)"
"Comedy","256","Junior (1994)"
"Comedy","1136","Monty Python and the Holy Grail (1974)"
"Comedy","583","Dear Diary (Caro Diario) (1994)"
"Comedy","2626","Edge of Seventeen (1998)"
"Comedy","597","Pretty Woman (1990)"
"Comedy","312","Stuart Saves His Family (1995)"
"Comedy","470","House Party 3 (1994)"
"Comedy","1","Toy Story (1995)"
"Comedy","447","Favor, The (1994)"
"Crime","290","Once Were Warriors (1994)"
"Crime","2580","Go (1999)"
"Crime","50","Usual Suspects, The (1995)"
"Crime","869","Kansas City (1996)"
"Crime","874","Killer: A Journal of Murder (1995)"
"Crime","2231","Rounders (1998)"
"Crime","1234","Sting, The (1973)"
"Crime","858","Godfather, The (1972)"
"Crime","1473","Best Men (1997)"
"Crime","47","Seven (Se7en) (1995)"
"Documentary","1122","Plutonium Circus (1995)"
"Documentary","108","Catwalk (1995)"
"Documentary","1123","Perfect Candidate, A (1996)"
"Documentary","1147","When We Were Kings (1996)"
"Documentary","722","Haunted World of Edward D. Wood Jr., The (1995)"
"Documentary","1315","Paris Was a Woman (1995)"
"Documentary","1145","Snowriders (1996)"
"Documentary","1191","Madonna: Truth or Dare (1991)"
"Documentary","2627","Endurance (1998)"
"Documentary","1901","Dear Jesse (1997)"
"Drama","1124","On Golden Pond (1981)"
"Drama","583","Dear Diary (Caro Diario) (1994)"
"Drama","2443","Playing by Heart (1998)"
"Drama","2626","Edge of Seventeen (1998)"
"Drama","517","Rising Sun (1993)"
"Drama","1196","Star Wars: Episode V - The Empire Strikes Back (1980)"
"Drama","812","Magic Hunter (1994)"
"Drama","2272","One True Thing (1998)"
"Drama","290","Once Were Warriors (1994)"
"Drama","1190","Tie Me Up! Tie Me Down! (1990)"
"Fantasy","1126","Drop Dead Fred (1991)"
"Fantasy","1848","Borrowers, The (1997)"
"Fantasy","2","Jumanji (1995)"
"Fantasy","3466","Heart and Souls (1993)"
"Fantasy","2453","Boy Who Could Fly, The (1986)"
"Fantasy","2021","Dune (1984)"
"Fantasy","1019","20,000 Leagues Under the Sea (1954)"
"Fantasy","2872","Excalibur (1981)"
"Fantasy","1073","Willy Wonka and the Chocolate Factory (1971)"
"Fantasy","885","Bogus (1996)"
"Film-Noir","541","Blade Runner (1982)"
"Film-Noir","1617","L.A. Confidential (1997)"
"Film-Noir","1154","T-Men (1947)"
"Film-Noir","1748","Dark City (1998)"
"Film-Noir","1267","Manchurian Candidate, The (1962)"
"Film-Noir","2940","Gilda (1946)"
"Film-Noir","3380","Railroaded! (1947)"
"Film-Noir","3334","Key Largo (1948)"
"Film-Noir","3305","Bluebeard (1944)"
"Film-Noir","922","Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)"
"Horror","2854","Don't Look in the Basement! (1973)"
"Horror","2655","Howling II: Your Sister Is a Werewolf (1985)"
"Horror","3027","Slaughterhouse 2 (1988)"
"Horror","2668","Swamp Thing (1982)"
"Horror","1278","Young Frankenstein (1974)"
"Horror","1214","Alien (1979)"
"Horror","3013","Bride of Re-Animator (1990)"
"Horror","1407","Scream (1996)"
"Horror","2003","Gremlins (1984)"
"Horror","1988","Hello Mary Lou: Prom Night II (1987)"
"Musical","1030","Pete's Dragon (1977)"
"Musical","1031","Bedknobs and Broomsticks (1971)"
"Musical","1035","Sound of Music, The (1965)"
"Musical","1220","Blues Brothers, The (1980)"
"Musical","975","Something to Sing About (1937)"
"Musical","2934","Love Bewitched, A (El Amor Brujo) (1986)"
"Musical","2863","Hard Day's Night, A (1964)"
"Musical","1298","Pink Floyd - The Wall (1982)"
"Musical","1066","Shall We Dance? (1937)"
"Musical","242","Farinelli: il castrato (1994)"
"Mystery","517","Rising Sun (1993)"
"Mystery","350","Client, The (1994)"
"Mystery","2844","Minus Man, The (1999)"
"Mystery","578","Hour of the Pig, The (1993)"
"Mystery","1422","Murder at 1600 (1997)"
"Mystery","1627","U Turn (1997)"
"Mystery","2752","Outrageous Fortune (1987)"
"Mystery","904","Rear Window (1954)"
"Mystery","1909","X-Files: Fight the Future, The (1998)"
"Mystery","1617","L.A. Confidential (1997)"
"Romance","2443","Playing by Heart (1998)"
"Romance","2626","Edge of Seventeen (1998)"
"Romance","597","Pretty Woman (1990)"
"Romance","1520","Commandments (1997)"
"Romance","1477","Love Jones (1997)"
"Romance","447","Favor, The (1994)"
"Romance","983","Madagascar Skin (1995)"
"Romance","2469","Peggy Sue Got Married (1986)"
"Romance","3307","City Lights (1931)"
"Romance","1850","I Love You, Don't Touch Me! (1998)"
"Sci-Fi","256","Junior (1994)"
"Sci-Fi","1917","Armageddon (1998)"
"Sci-Fi","1196","Star Wars: Episode V - The Empire Strikes Back (1980)"
"Sci-Fi","2495","Fantastic Planet, The (La Planète sauvage) (1973)"
"Sci-Fi","32","Twelve Monkeys (1995)"
"Sci-Fi","2661","It Came from Outer Space (1953)"
"Sci-Fi","2668","Swamp Thing (1982)"
"Sci-Fi","2549","Wing Commander (1999)"
"Sci-Fi","1214","Alien (1979)"
"Sci-Fi","541","Blade Runner (1982)"
"Thriller","1917","Armageddon (1998)"
"Thriller","579","Scorta, La (1993)"
"Thriller","350","Client, The (1994)"
"Thriller","50","Usual Suspects, The (1995)"
"Thriller","2967","Bad Seed, The (1956)"
"Thriller","1889","Insomnia (1997)"
"Thriller","1151","Faust (1994)"
"Thriller","1616","Peacemaker, The (1997)"
"Thriller","1483","Crash (1996)"
"Thriller","1430","Underworld (1997)"
"War","1196","Star Wars: Episode V - The Empire Strikes Back (1980)"
"War","1184","Mediterraneo (1991)"
"War","1217","Ran (1985)"
"War","2817","Aces: Iron Eagle III (1992)"
"War","1616","Peacemaker, The (1997)"
"War","632","Land and Freedom (Tierra y libertad) (1995)"
"War","1204","Lawrence of Arabia (1962)"
"War","920","Gone with the Wind (1939)"
"War","1183","English Patient, The (1996)"
"War","1586","G.I. Jane (1997)"
"Western","1201","Good, The Bad and The Ugly, The (1966)"
"Western","2055","Hot Lead and Cold Feet (1978)"
"Western","487","Lightning Jack (1994)"
"Western","2012","Back to the Future Part III (1990)"
"Western","599","Wild Bunch, The (1969)"
"Western","2401","Pale Rider (1985)"
"Western","2951","Fistful of Dollars, A (1964)"
"Western","3030","Yojimbo (1961)"
"Western","432","City Slickers II: The Legend of Curly's Gold (1994)"
"Western","1209","Once Upon a Time in the West (1969)"
